CBD,LAT,LON,THK,SRF
474,-80.082108,-163.533798,9999,9999
475,-80.080795,-163.440598,9999,9999
476,-80.076706,-163.341904,9999,9999
477,-80.076706,-163.236496,9999,9999
478,-80.073898,-163.141907,9999,9999
479,-80.071198,-163.043198,9999,9999
480,-80.071198,-162.951401,9999,9999
481,-80.067093,-162.855499,9999,9999
482,-80.065704,-162.759598,9999,9999
483,-80.062897,-162.6651,9999,9999
484,-80.060196,-162.567795,9999,9999
485,-80.058807,-162.4664,9999,9999
486,-80.054703,-162.367706,9999,9999
487,-80.054703,-162.277298,9999,9999
488,-80.052002,-162.184097,9999,9999
489,-80.050598,-162.085403,9999,9999
490,-80.047897,-161.988205,9999,9999
491,-80.045105,-161.8909,9999,9999
492,-80.042297,-161.793594,9999,9999
493,-80.041,-161.697693,9999,9999
494,-80.036896,-161.594894,9999,9999
495,-80.034103,-161.500397,9999,9999
496,-80.032806,-161.397598,9999,9999
497,-80.028595,-161.308502,9999,9999
498,-80.027298,-161.212601,9999,9999
499,-80.025894,-161.116699,9999,9999
500,-80.024597,-161.019394,9999,9999
501,-80.018997,-160.927597,9999,9999
502,-80.016296,-160.831696,9999,9999
503,-80.014893,-160.722,9999,9999
504,-80.010803,-160.627502,9999,9999
505,-80.009399,-160.528793,9999,9999
506,-80.005295,-160.434296,9999,9999
507,-80.002594,-160.341095,9999,9999
508,-79.999802,-160.243805,9999,9999
509,-79.998505,-160.1465,9999,9999
510,-79.9944,-160.050598,9999,9999
511,-79.992996,-159.958801,9999,9999
512,-79.988907,-159.857407,9999,9999
513,-79.986099,-159.761505,9999,9999
514,-79.980698,-159.572403,9999,9999
515,-79.979294,-159.472397,9999,9999
516,-79.976501,-159.384705,9999,9999
517,-79.975204,-159.285995,9999,9999
518,-79.9711,-159.190094,9999,9999
519,-79.966904,-159.094101,9999,9999
520,-79.965607,-158.996902,9999,9999
521,-79.961502,-158.895401,9999,9999
522,-79.960098,-158.800903,9999,9999
523,-79.955994,-158.703598,9999,9999
524,-79.953293,-158.611801,9999,9999
525,-79.9505,-158.518707,9999,9999
526,-79.9478,-158.418594,9999,9999
527,-79.943695,-158.328201,9999,9999
528,-79.940903,-158.237701,9999,9999
529,-79.938202,-158.136398,9999,9999
530,-79.934097,-158.041702,9999,9999
531,-79.929993,-157.945801,9999,9999
532,-79.9272,-157.8582,9999,9999
533,-79.923096,-157.762207,9999,9999
534,-79.919006,-157.664902,9999,9999
535,-79.913498,-157.573105,9999,9999
536,-79.909393,-157.488205,9999,9999
537,-79.905304,-157.395004,9999,9999
538,-79.901199,-157.294998,9999,9999
539,-79.897095,-157.199097,9999,9999
540,-79.893005,-157.104507,9999,9999
541,-79.888901,-157.011307,9999,9999
542,-79.887497,-156.920898,9999,9999
543,-79.882004,-156.822205,9999,9999
544,-79.877899,-156.731796,9999,9999
545,-79.875198,-156.630295,9999,9999
546,-79.871002,-156.537201,9999,9999
547,-79.865601,-156.444,9999,9999
548,-79.862793,-156.346603,9999,9999
549,-79.8573,-156.257599,9999,9999
550,-79.853195,-156.167206,9999,9999
551,-79.850494,-156.079407,9999,9999
552,-79.845001,-155.990402,9999,9999
553,-79.8423,-155.895905,9999,9999
554,-79.835403,-155.805405,9999,9999
555,-79.832703,-155.717697,9999,9999
556,-79.828598,-155.612198,9999,9999
557,-79.824493,-155.520294,9999,9999
558,-79.820297,-155.429901,9999,9999
559,-79.819,-155.335297,9999,9999
560,-79.812103,-155.246307,9999,9999
561,-79.809402,-155.1586,9999,9999
562,-79.805298,-155.062698,9999,9999
563,-79.798401,-154.979095,9999,9999
564,-79.794296,-154.883102,9999,9999
565,-79.784698,-154.702194,9999,9999
566,-79.779297,-154.6091,9999,9999
567,-79.773804,-154.521301,9999,9999
568,-79.769699,-154.434998,9999,9999
569,-79.764206,-154.343201,9999,9999
570,-79.758698,-154.25,9999,9999
571,-79.751801,-154.170502,9999,9999
572,-79.7491,-154.077301,9999,9999
573,-79.742294,-153.975906,9999,9999
574,-79.738205,-153.893707,9999,9999
575,-79.732697,-153.800507,9999,9999
576,-79.728607,-153.707306,9999,9999
577,-79.724503,-153.623703,9999,9999
578,-79.717606,-153.534698,9999,9999
579,-79.712097,-153.445602,9999,9999
580,-79.706696,-153.359299,9999,9999
581,-79.702606,-153.267395,9999,9999
582,-79.697098,-153.171494,9999,9999
583,-79.690201,-153.078293,9999,9999
584,-79.684692,-152.989197,9999,9999
585,-79.679306,-152.901505,9999,9999
586,-79.675201,-152.809692,9999,9999
587,-79.669693,-152.727097,9999,9999
588,-79.6642,-152.632904,9999,9999
589,-79.657303,-152.542404,9999,9999
590,-79.651901,-152.453293,9999,9999
591,-79.646393,-152.357407,9999,9999
